"","X1","fecha","vix","sp500","dowjones","nasdaq"
"1","146","01 ago 2010","2605","459700","60371.00000"," 1.76743"
"2","145","01 sept 2010","2370","420870","65394.00000"," 1.99804"
"3","144","01 oct 2010","2120","357110","67218.00000"," 2.12445"
"4","143","01 nov 2010","2354","356020","66916.00000"," 2.11733"
"5","142","01 dic 2010","1775","305220","74324.00000"," 2.21786"
"6","141","01 ene 2011","1953","264110","77042.00000"," 2.28191"
"7","140","01 feb 2011","1835","254710","80473.00000"," 2.35099"
"8","139","01 mar 2011","1774","242440","81501.00000"," 2.33899"
"9","138","01 abr 2011","1475","218240","87623.00000"," 2.40408"
"10","137","01 may 2011","1545","210590","82813.00000"," 2.37254"
"11","136","01 jun 2011","1652","213270","79455.00000"," 2.32507"
"12","135","01 jul 2011","2525","211050","82544.00000"," 2.36281"
"13","134","01 ago 2011","3162","314160","82706.00000"," 2.24101"
"14","133","01 sept 2011","4296","381240","70584.00000"," 2.13918"
"15","132","01 oct 2011","2996","316880","75958.00000"," 2.36008"
"16","131","01 nov 2011","2780","342380","74803.00000"," 2.29520"
"17","130","01 dic 2011","2340","304820","73052.00000"," 2.27783"
"18","129","01 ene 2012","1944","264440","76969.00000"," 2.46795"
"19","128","01 feb 2012","1843","265570","79488.00000"," 2.62310"
"20","127","01 mar 2012","1550","208870","77232.00000"," 2.75527"
"21","126","01 abr 2012","1715","208040","76592.00000"," 2.72368"
"22","125","01 may 2012","2406","244970","68655.00000"," 2.52487"
"23","124","01 jun 2012","1708","206730","70759.00000"," 2.61572"
"24","123","01 jul 2012","1893","193620","74782.00000"," 2.64253"
"25","122","01 ago 2012","1747","183190","77584.00000"," 2.77224"
"26","121","01 sept 2012","1573","146880","78837.00000"," 2.79919"
"27","120","01 oct 2012","1860","142400","75838.00000"," 2.64792"
"28","119","01 nov 2012","1587","124060","77203.00000"," 2.67788"
"29","118","01 dic 2012","1802","125270","75945.00000"," 2.66093"
"30","117","01 ene 2013","1428","102250","78725.00000"," 2.73153"
"31","116","01 feb 2013","1551","100160","75218.00000"," 2.73858"
"32","115","01 mar 2013","1270"," 89600","74464.00000"," 2.81869"
"33","114","01 abr 2013","1352"," 83710","71581.00000"," 2.88744"
"34","113","01 may 2013","1630"," 88720","70148.00000"," 2.98176"
"35","112","01 jun 2013","1686"," 96110","67653.00000"," 2.90960"
"36","111","01 jul 2013","1345"," 77800","68955.00000"," 3.09019"
"37","110","01 ago 2013","1701"," 84200","71089.00000"," 3.07381"
"38","109","01 sept 2013","1660"," 76900","69767.00000"," 3.21820"
"39","108","01 oct 2013","1375"," 72740","69602.00000"," 3.37773"
"40","107","01 nov 2013","1370"," 67510","68402.00000"," 3.48782"
"41","106","01 dic 2013","1372"," 61950","69200.00000"," 3.59200"
"42","105","01 ene 2014","1841"," 67720","68238.00000"," 3.52192"
"43","104","01 feb 2014","1400"," 58390","71482.00000"," 3.69610"
"44","103","01 mar 2014","1388"," 56660","72351.00000"," 3.59574"
"45","102","01 abr 2014","1341"," 54540","73496.00000"," 3.58202"
"46","101","01 may 2014","1140"," 51300","72120.00000"," 3.73682"
"47","100","01 jun 2014","1157"," 44920","71230.00000"," 3.84948"
"48"," 99","01 jul 2014","1695"," 46490","67582.00000"," 3.89250"
"49"," 98","01 ago 2014","1198"," 43990","67178.00000"," 4.08256"
"50"," 97","01 sept 2014","1631"," 47220","63018.00000"," 4.04945"
"51"," 96","01 oct 2014","1403"," 42810","62951.00000"," 4.15821"
"52"," 95","01 nov 2014","1333"," 41270","60351.00000"," 4.33778"
