,fecha,nasdaq,dowjones,sp500,vix
1,04.01.2010, 1886.70,10583.96,1132.99,22.27
2,05.01.2010, 1888.43,10572.02,1136.52,27.31
3,06.01.2010, 1878.42,10573.68,1137.14,25.41
4,07.01.2010, 1876.72,10606.86,1141.69,24.55
5,08.01.2010, 1892.59,10618.19,1144.98,23.14
6,11.01.2010, 1886.24,10663.99,1146.98,23.73
7,12.01.2010, 1861.79,10627.26,1136.22,24.62
8,13.01.2010, 1886.13,10680.77,1145.68,22.59
9,14.01.2010, 1886.52,10710.55,1148.46,21.48
10,15.01.2010, 1864.52,10609.65,1136.03,21.60
11,19.01.2010, 1895.48,10725.43,1150.23,26.08
12,20.01.2010, 1867.95,10603.15,1138.04,26.11
13,21.01.2010, 1850.57,10389.88,1116.48,26.51
14,22.01.2010, 1794.82,10172.98,1091.76,26.00
15,25.01.2010, 1802.39,10196.86,1096.78,25.40
16,26.01.2010, 1803.86,10194.29,1092.17,23.96
17,27.01.2010, 1818.90,10236.16,1097.50,22.73
18,28.01.2010, 1771.10,10120.46,1084.53,22.25
19,29.01.2010, 1741.04,10067.33,1073.87,21.72
20,01.02.2010, 1760.72,10185.53,1089.19,20.63
21,02.02.2010, 1776.92,10296.85,1103.32,20.02
22,03.02.2010, 1784.70,10270.55,1097.28,19.94
23,04.02.2010, 1732.99,10002.18,1063.11,21.37
24,05.02.2010, 1746.12,10012.23,1066.19,20.27
25,08.02.2010, 1734.88, 9908.39,1056.74,20.10
26,09.02.2010, 1753.84,10058.64,1070.52,19.50
27,10.02.2010, 1749.76,10038.38,1068.13,19.26
28,11.02.2010, 1775.74,10144.19,1078.47,19.06
29,12.02.2010, 1779.11,10099.14,1075.51,18.83
30,16.02.2010, 1802.06,10268.81,1094.87,18.72
31,17.02.2010, 1810.86,10309.24,1099.51,17.42
32,18.02.2010, 1823.39,10392.90,1106.75,17.79
33,19.02.2010, 1823.32,10402.35,1109.17,17.92
34,22.02.2010, 1817.63,10383.38,1108.01,18.57
35,23.02.2010, 1793.82,10282.41,1094.60,18.06
36,24.02.2010, 1812.51,10374.16,1105.24,17.58
37,25.02.2010, 1812.91,10321.03,1102.94,18.00
38,26.02.2010, 1818.68,10325.26,1104.49,17.69
39,01.03.2010, 1846.40,10403.79,1115.71,16.91
40,02.03.2010, 1851.21,10405.98,1118.31,16.62
41,03.03.2010, 1851.57,10396.76,1118.79,16.97
42,04.03.2010, 1859.72,10444.14,1122.97,16.87
43,05.03.2010, 1888.56,10566.20,1138.70,16.35
44,08.03.2010, 1890.89,10552.52,1138.50,17.55
45,09.03.2010, 1901.38,10564.38,1140.45,18.40
46,10.03.2010, 1917.35,10567.33,1145.61,17.77
47,11.03.2010, 1923.81,10611.84,1150.24,17.59
48,12.03.2010, 1924.43,10624.69,1149.99,17.13
49,15.03.2010, 1920.09,10642.15,1150.51,17.59
50,16.03.2010, 1932.24,10685.98,1159.46,17.47
51,17.03.2010, 1936.22,10733.67,1166.21,17.02
52,18.03.2010, 1943.94,10779.17,1165.83,16.23
53,19.03.2010, 1932.43,10741.98,1159.90,16.62
54,22.03.2010, 1949.59,10785.89,1165.81,16.48
55,23.03.2010, 1963.20,10888.83,1174.17,16.14
56,24.03.2010, 1951.84,10836.15,1167.72,15.58
57,25.03.2010, 1949.15,10841.21,1165.73,16.20
58,26.03.2010, 1952.63,10850.36,1166.59,15.59
59,29.03.2010, 1961.22,10895.86,1173.22,15.89
60,30.03.2010, 1967.96,10907.42,1173.27,18.36
61,31.03.2010, 1958.34,10856.63,1169.43,17.34
62,01.04.2010, 1959.56,10927.07,1178.10,15.73
63,05.04.2010, 1977.83,10973.55,1187.44,16.32
64,06.04.2010, 1981.95,10969.99,1189.44,16.47
65,07.04.2010, 1977.30,10897.52,1182.45,16.62
66,08.04.2010, 1980.73,10927.07,1186.44,17.47
67,09.04.2010, 1994.43,10997.35,1194.37,22.81
68,12.04.2010, 1995.65,11005.97,1196.48,21.08
69,13.04.2010, 2003.81,11019.42,1197.30,18.44
70,14.04.2010, 2028.82,11123.11,1210.65,22.05
71,15.04.2010, 2038.64,11144.57,1211.67,20.19
72,16.04.2010, 2012.84,11018.66,1192.13,23.84
73,19.04.2010, 2013.53,11092.05,1197.52,24.91
74,20.04.2010, 2023.60,11117.06,1207.17,32.80
75,21.04.2010, 2034.53,11124.92,1205.94,40.95
76,22.04.2010, 2045.16,11134.29,1208.67,28.84
77,23.04.2010, 2055.33,11204.28,1217.28,28.32
78,26.04.2010, 2049.09,11205.03,1212.05,25.52
79,27.04.2010, 2006.25,10991.99,1183.71,26.68
80,28.04.2010, 2007.59,11045.27,1191.36,31.24
81,29.04.2010, 2042.89,11167.32,1206.78,30.84
82,30.04.2010, 2000.63,11008.61,1186.69,33.55
83,03.05.2010, 2031.60,11151.83,1202.26,35.32
84,04.05.2010, 1968.97,10926.77,1173.60,45.79
85,05.05.2010, 1958.26,10868.12,1165.87,40.10
86,06.05.2010, 1893.75,10520.32,1128.15,38.32
87,07.05.2010, 1849.44,10380.43,1110.88,34.61
88,10.05.2010, 1942.61,10785.14,1159.73,35.02
89,11.05.2010, 1940.48,10748.26,1155.79,29.68
90,12.05.2010, 1975.58,10896.91,1171.67,32.07
91,13.05.2010, 1945.52,10782.95,1157.44,35.54
92,14.05.2010, 1907.10,10620.16,1135.68,30.17
93,17.05.2010, 1915.45,10625.83,1136.94,29.46
94,18.05.2010, 1887.06,10510.95,1120.80,35.48
95,19.05.2010, 1873.42,10444.37,1115.05,36.57
96,20.05.2010, 1800.12,10068.01,1071.59,33.70
97,21.05.2010, 1822.77,10193.39,1087.69,33.73
98,24.05.2010, 1815.28,10066.57,1073.65,30.57
99,25.05.2010, 1815.68,10043.75,1074.03,28.79
100,26.05.2010, 1796.47, 9974.45,1067.95,28.58
101,27.05.2010, 1862.71,10258.99,1103.06,25.87
102,28.05.2010, 1852.39,10136.63,1089.41,25.92
