"","fecha","porcentaje"
"1","mar-2010"," 9.2"
"2","abr-2010"," 8.8"
"3","may-2010"," 9.1"
"4","jun-2010"," 8.7"
"5","jul-2010"," 8.5"
"6","ago-2010"," 8.4"
"7","sep-2010"," 8.1"
"8","oct-2010"," 7.8"
"9","nov-2010"," 7.2"
"10","dic-2010"," 7.2"
"11","ene-2011"," 7.4"
"12","feb-2011"," 7.4"
"13","mar-2011"," 7.5"
"14","abr-2011"," 7.2"
"15","may-2011"," 7.3"
"16","jun-2011"," 7.2"
"17","jul-2011"," 7.6"
"18","ago-2011"," 7.5"
"19","sep-2011"," 7.6"
"20","oct-2011"," 7.4"
"21","nov-2011"," 7.3"
"22","dic-2011"," 6.8"
"23","ene-2012"," 6.9"
"24","feb-2012"," 6.5"
"25","mar-2012"," 6.8"
"26","abr-2012"," 6.8"
"27","may-2012"," 6.9"
"28","jun-2012"," 6.8"
"29","jul-2012"," 6.7"
"30","ago-2012"," 6.5"
"31","sep-2012"," 6.6"
"32","oct-2012"," 6.7"
"33","nov-2012"," 6.4"
"34","dic-2012"," 6.2"
"35","ene-2013"," 6.1"
"36","feb-2013"," 6.4"
"37","mar-2013"," 6.4"
"38","abr-2013"," 6.5"
"39","may-2013"," 6.5"
"40","jun-2013"," 6.3"
"41","jul-2013"," 5.9"
"42","ago-2013"," 5.8"
"43","sep-2013"," 5.9"
"44","oct-2013"," 6.0"
"45","nov-2013"," 5.9"
"46","dic-2013"," 5.8"
"47","ene-2014"," 6.2"
"48","feb-2014"," 6.2"
"49","mar-2014"," 6.5"
"50","abr-2014"," 6.1"
"51","may-2014"," 6.3"
"52","jun-2014"," 6.5"
"53","jul-2014"," 6.6"
"54","ago-2014"," 6.8"
"55","sep-2014"," 6.8"
"56","oct-2014"," 6.6"
"57","nov-2014"," 6.2"
"58","dic-2014"," 6.2"
"59","ene-2015"," 6.2"
"60","feb-2015"," 6.2"
"61","mar-2015"," 6.2"
"62","abr-2015"," 6.4"
"63","may-2015"," 6.8"
"64","jun-2015"," 6.7"
"65","jul-2015"," 6.7"
"66","ago-2015"," 6.6"
"67","sep-2015"," 6.5"
"68","oct-2015"," 6.4"
"69","nov-2015"," 6.2"
"70","dic-2015"," 5.9"
"71","ene-2016"," 5.9"
"72","feb-2016"," 6.0"
"73","mar-2016"," 6.5"
"74","abr-2016"," 6.6"
"75","may-2016"," 7.0"
"76","jun-2016"," 7.0"
"77","jul-2016"," 7.3"
"78","ago-2016"," 7.1"
"79","sep-2016"," 7.0"
"80","oct-2016"," 6.7"
"81","nov-2016"," 6.4"
"82","dic-2016"," 6.2"
"83","ene-2017"," 6.4"
"84","feb-2017"," 6.8"
"85","mar-2017"," 7.0"
"86","abr-2017"," 7.1"
"87","may-2017"," 7.3"
"88","jun-2017"," 7.3"
"89","jul-2017"," 7.2"
"90","ago-2017"," 6.9"
"91","sep-2017"," 7.0"
"92","oct-2017"," 7.0"
"93","nov-2017"," 6.7"
"94","dic-2017"," 6.5"
"95","ene-2018"," 6.8"
"96","feb-2018"," 7.0"
"97","mar-2018"," 7.4"
"98","abr-2018"," 7.0"
"99","may-2018"," 7.4"
"100","jun-2018"," 7.5"
"101","jul-2018"," 7.9"
"102","ago-2018"," 7.7"
"103","sep-2018"," 7.5"
"104","oct-2018"," 7.4"
"105","nov-2018"," 7.3"
"106","dic-2018"," 7.1"
"107","ene-2019"," 7.1"
"108","feb-2019"," 7.0"
"109","mar-2019"," 7.2"
"110","abr-2019"," 7.1"
"111","may-2019"," 7.2"
"112","jun-2019"," 7.3"
"113","jul-2019"," 7.5"
"114","ago-2019"," 7.6"
"115","sep-2019"," 7.3"
"116","oct-2019"," 7.1"
"117","nov-2019"," 7.0"
"118","dic-2019"," 7.1"
"119","ene-2020"," 7.4"
"120","feb-2020"," 7.8"
"121","mar-2020"," 8.2"
"122","abr-2020"," 9.0"
"123","may-2020","11.2"
"124","jun-2020","12.2"
"125","jul-2020","13.1"
"126","ago-2020","12.9"
"127","sep-2020","12.3"
"128","oct-2020","11.6"
"129","nov-2020","10.8"
"130","dic-2020","10.3"
"131","ene-2021","10.2"
"132","feb-2021","10.3"
"133","mar-2021","10.4"
"134","abr-2021","10.2"
"135","may-2021","10.0"
"136","jun-2021"," 9.5"
"137","jul-2021"," 8.9"
"138","ago-2021"," 8.5"
"139","sep-2021"," 8.4"
"140","oct-2021"," 8.1"
"141","nov-2021"," 7.5"
"142","dic-2021"," 7.2"
"143","ene-2022"," 7.3"
"144","feb-2022"," 7.5"
"145","mar-2022"," 7.8"
"146","abr-2022"," 7.7"
"147","may-2022"," 7.8"
"148","jun-2022"," 7.8"
"149","jul-2022"," 7.9"
"150","ago-2022"," 7.9"
