Fecha,Último,Apertura,Máximo,Mínimo,Vol,% var
11102022,29238.66,29085.2,29607.97,29074.49,343.83M,0.12%
10102022,29202.94,29420.35,29485.14,29010.98,308.84M,-0.32%
7102022,29297.25,29685.27,29685.27,29146.31,357.99M,-2.10%
6102022,29926.47,30206.13,30329.42,29860.77,297.92M,-1.15%
5102022,30274.8,30078.36,30452.57,29887.06,283.85M,-0.14%
4102022,30316.98,29826.67,30323.43,29826.67,362.09M,2.80%
3102022,29490.03,28855.25,29638.98,28855.25,383.36M,2.64%
30092022,28730.12,29123.03,29354.38,28723.55,442.18M,-1.70%
29092022,29227.59,29486.85,29503.85,28997.52,376.91M,-1.53%
28092022,29681.76,29198.92,29811.2,29114.97,423.71M,1.87%
27092022,29136.9,29419.88,29657.46,28959.59,347.47M,-0.44%
26092022,29264.5,29463.75,29629.37,29161.12,355.58M,-1.11%
23092022,29592.85,29783.78,29798.39,29252.57,376.32M,-1.61%
22092022,30076.09,30204.52,30299,29994.87,323.74M,-0.36%
21092022,30183.71,30849.84,31020.79,30182.12,341.85M,-1.70%
20092022,30707.08,30888.53,30888.53,30466.29,309.01M,-1.01%
19092022,31019.82,30570.64,31026.89,30559.73,281.83M,0.64%
16092022,30821.5,30615.73,30862.69,30550.55,543.74M,-0.45%
15092022,30962.02,31124.68,31276.28,30883.45,334.64M,-0.56%
14092022,31135.09,31141.02,31269.93,30888.17,334.98M,0.10%
13092022,31104.9,32006.5,32006.5,31018.86,418.86M,-3.95%
12092022,32383.18,32260.54,32503.16,32259.33,324.91M,0.72%
9092022,32151.71,31876.22,32225.92,31876.22,296.15M,1.19%
8092022,31773.8,31481.95,31781.21,31322.23,321.04M,0.61%
7092022,31581.65,31119.53,31644.09,31102.33,324.07M,1.39%
6092022,31148.07,31407.33,31462.99,31050.26,323.25M,-0.55%
2092022,31318.84,31848.5,32026.46,31182.49,292.98M,-1.07%
1092022,31657.14,31454.58,31677.16,31219.75,328.97M,0.46%
31082022,31511.09,31827.15,31965.19,31511.09,338.31M,-0.88%
30082022,31790.74,32189.3,32204.45,31647.62,303.48M,-0.96%
29082022,32099.65,32059.67,32325.16,31973.05,293.15M,-0.57%
26082022,32282.8,33293.43,33363.74,32278.69,335.75M,-3.04%
25082022,33293.66,33029.27,33303.58,32893.71,292.58M,0.98%
24082022,32970.71,32899.01,33095.24,32832.03,244.74M,0.19%
