Fecha,Último,Apertura,Máximo,Mínimo,Vol,% var
11102022,10791.35,10865.52,10981.91,10717.65,285.42M,-1.24%
10102022,10926.97,11045.87,11061.14,10824.36,247.37M,-1.02%
7102022,11039.47,11275.34,11292.83,10992.76,324.53M,-3.88%
6102022,11485.5,11556.72,11659.8,11473.28,222.82M,-0.76%
5102022,11573.18,11429.47,11647.28,11312.52,220.09M,-0.08%
4102022,11582.54,11477.85,11609.25,11464.27,282.59M,3.14%
3102022,11229.73,11055.9,11296.32,10985.59,290.68M,2.36%
30092022,10971.22,11123.11,11296.06,10967.37,331.84M,-1.73%
29092022,11164.78,11334.57,11339.54,11039.29,284.97M,-2.86%
28092022,11493.83,11256.99,11546.7,11210.81,285.99M,1.97%
27092022,11271.75,11410.53,11501.79,11175.73,250.68M,0.16%
26092022,11254.11,11282.88,11471.73,11235.86,258.45M,-0.51%
23092022,11311.24,11393.59,11400.86,11169.83,274.74M,-1.66%
22092022,11501.65,11579.63,11616.4,11448.9,253.96M,-1.17%
21092022,11637.79,11900.37,12062.29,11637.19,262.51M,-1.80%
20092022,11851.54,11853.43,11951.1,11762.07,223.79M,-0.85%
19092022,11953.28,11752.43,11956.15,11752.43,231.26M,0.77%
16092022,11861.38,11779.01,11874.93,11711.27,728.23M,-0.55%
15092022,11927.49,12035.22,12152.64,11868.3,281.72M,-1.71%
14092022,12134.4,12092.03,12170.25,12017.28,273.02M,0.84%
13092022,12033.62,12362.97,12417.62,12004.42,361.37M,-5.54%
12092022,12739.72,12649.23,12752.51,12640.19,225.82M,1.20%
9092022,12588.29,12424.15,12610.04,12424.15,228.29M,2.17%
8092022,12321.19,12139.57,12372.38,12120.38,229.80M,0.50%
7092022,12259.39,12035.33,12297.74,12028.77,237.10M,2.07%
6092022,12011.31,12108.11,12150.94,11929.67,244.30M,-0.72%
2092022,12098.44,12366.57,12450.89,12036.4,248.62M,-1.44%
1092022,12274.63,12158,12289.77,12013.56,276.69M,0.02%
31082022,12272.03,12447.56,12500.79,12268.71,314.46M,-0.57%
30082022,12342.7,12562.4,12571.91,12240.83,232.04M,-1.13%
29082022,12484.32,12487.76,12593.9,12440.81,219.33M,-0.96%
26082022,12605.17,13129.15,13172.93,12605.17,307.91M,-4.10%
25082022,13143.58,12984.74,13146.76,12951.67,208.27M,1.75%
24082022,12917.86,12875.67,12995.03,12843.58,177.66M,0.28%
23082022,12881.79,12885.28,13000.58,12853.05,179.20M,-0.07%
22082022,12890.54,13055.2,13071.81,12860.38,221.54M,-2.66%
19082022,13242.9,13369.78,13400.77,13210.98,248.56M,-1.95%
18082022,13505.99,13473.78,13553.28,13405.74,189.20M,0.26%
17082022,13470.86,13499.24,13591.58,13390.41,196.22M,-1.21%
16082022,13635.21,13619.65,13720.71,13508.5,180.15M,-0.23%
15082022,13667.18,13529.66,13685.48,13525.87,166.16M,0.75%
12082022,13565.87,13384.65,13565.87,13341.71,208.94M,2.06%
11082022,13291.99,13471.03,13555.02,13271.76,198.24M,-0.65%
10082022,13378.32,13330.66,13386.85,13220.83,255.48M,2.85%
9082022,13008.17,13063.34,13094.14,12945.62,214.75M,-1.15%
8082022,13159.16,13223.95,13394.53,13104.18,202.32M,-0.37%
5082022,13207.69,13110.1,13286.02,13070.36,214.90M,-0.78%
4082022,13311.04,13253.77,13326.72,13171.44,221.47M,0.44%
3082022,13253.26,12980.47,13287.26,12980.32,282.67M,2.73%
2082022,12901.6,12859.08,13070.98,12822,210.80M,-0.30%
1082022,12940.78,12877.69,13084.3,12833.4,226.14M,-0.06%
29072022,12947.97,12784.2,12981.47,12727.13,339.80M,1.81%
28072022,12717.87,12581.08,12741.54,12433.55,244.83M,0.92%
27072022,12601.47,12300.48,12654.64,12258.92,301.61M,4.26%
26072022,12086.9,12251.29,12255.87,12051.24,224.01M,-1.96%
25072022,12328.41,12391.21,12415.59,12244.99,188.91M,-0.55%
22072022,12396.47,12574.84,12662.86,12322.93,235.82M,-1.77%
21072022,12619.41,12466.13,12619.41,12351.97,219.96M,1.44%
20072022,12439.68,12269.07,12487.8,12233.48,237.99M,1.55%
19072022,12249.42,12046.69,12258.37,11968.41,265.21M,3.13%
18072022,11877.5,12087.7,12156.09,11838.26,230.95M,-0.89%
15072022,11983.62,11897.47,11987.52,11829.17,263.64M,1.83%
14072022,11768.39,11637.38,11800.99,11488.27,204.46M,0.34%
13072022,11728.53,11526.99,11818.06,11500.61,203.82M,-0.14%
12072022,11744.99,11926.84,11989.5,11684.13,208.67M,-0.97%
11072022,11860.28,12009.02,12025.17,11831.89,198.81M,-2.19%
8072022,12125.69,11977.95,12178.99,11956.17,174.94M,0.14%
7072022,12109.05,11913.73,12137.66,11898.17,224.03M,2.16%
6072022,11852.59,11807.08,11941.31,11727.81,205.18M,0.62%
5072022,11779.91,11423.05,11780.98,11367.3,246.56M,1.68%
1072022,11585.68,11476.43,11590.86,11379.22,223.44M,0.71%
30062022,11503.72,11532.32,11649.3,11323.7,291.13M,-1.33%
29062022,11658.26,11617.68,11709.55,11537.9,191.18M,0.18%
28062022,11637.77,12021.34,12133.54,11633.51,244.43M,-2.92%
27062022,11987.36,12157.93,12173.62,11965.92,218.21M,-0.98%
24062022,12105.85,11828.72,12110.7,11812.18,427.49M,3.49%
23062022,11697.68,11622.09,11729.62,11515.77,231.44M,1.47%
22062022,11527.71,11427.62,11707.33,11423.75,240.11M,-0.16%
21062022,11546.76,11446.99,11638.24,11446.99,277.38M,2.49%
17062022,11265.99,11173.64,11357.62,11092.09,648.22M,1.24%
16062022,11127.57,11285.41,11306.74,11037.24,326.09M,-4.02%
15062022,11593.77,11468.78,11748.07,11347.52,285.20M,2.49%
14062022,11311.69,11385.18,11418.11,11206.15,239.87M,0.21%
13062022,11288.32,11472.19,11567.12,11254.18,340.67M,-4.60%
10062022,11832.82,12055.29,12072.44,11825.35,282.31M,-3.56%
9062022,12269.78,12543.37,12665.04,12265.86,222.66M,-2.74%
8062022,12615.13,12680.75,12776.65,12578.55,196.32M,-0.76%
7062022,12711.67,12456.21,12735.89,12413.55,191.58M,0.89%
6062022,12599.63,12745.89,12804.2,12534.58,199.63M,0.41%
3062022,12548.03,12650.92,12724.71,12505.98,218.62M,-2.67%
2062022,12892.89,12498.63,12897.24,12450.53,236.84M,2.75%
1062022,12548.36,12750.31,12820.4,12458.35,206.92M,-0.74%
31052022,12642.1,12689.88,12762.84,12482.8,418.27M,-0.31%
27052022,12681.42,12423.94,12681.42,12405.54,247.34M,3.30%
26052022,12276.79,11906.83,12337.68,11901.87,252.30M,2.79%
25052022,11943.93,11727.59,12028.42,11714.27,223.83M,1.48%
24052022,11769.84,11809.46,11841.61,11576.13,231.83M,-2.20%
23052022,12034.28,11867.08,12047.62,11785.76,222.48M,1.68%
20052022,11835.62,12037.03,12042.76,11493.11,310.16M,-0.34%
19052022,11875.63,11871.33,12066.65,11795.79,274.43M,-0.44%
18052022,11928.31,12353.24,12389.96,11891.55,277.03M,-5.06%
17052022,12564.1,12497.05,12572.37,12334.67,234.24M,2.62%
16052022,12243.58,12297.07,12395.37,12196.56,198.21M,-1.16%
13052022,12387.4,12124.19,12429.23,12069.83,268.77M,3.70%
12052022,11945.5,11792.6,12126.44,11692.12,324.27M,-0.18%
11052022,11967.56,12241.96,12469.04,11939.16,300.24M,-3.06%
