Fecha,Último,Apertura,Máximo,Mínimo,Vol,% var
10102022,3612.39,3647.51,3652.17,3588.1,,-0.75%
7102022,3639.66,3706.74,3706.74,3620.73,,-2.80%
6102022,3744.52,3771.97,3797.93,3739.22,,-1.02%
5102022,3783.28,3753.25,3806.91,3722.66,,-0.20%
4102022,3790.93,3726.46,3791.92,3726.46,,3.06%
3102022,3678.43,3609.78,3698.35,3604.93,,2.59%
30092022,3585.62,3633.48,3671.44,3584.13,,-1.51%
29092022,3640.47,3687.01,3687.01,3610.4,,-2.11%
28092022,3719.04,3651.94,3736.74,3640.61,,1.97%
27092022,3647.29,3686.44,3717.53,3623.29,,-0.21%
26092022,3655.04,3682.72,3715.67,3644.76,,-1.03%
23092022,3693.23,3727.14,3727.14,3647.47,,-1.72%
22092022,3757.99,3782.36,3790.9,3749.45,,-0.84%
21092022,3789.93,3871.4,3907.07,3789.49,,-1.71%
20092022,3855.93,3875.23,3876.01,3827.54,,-1.13%
19092022,3899.89,3849.91,3900.45,3838.5,,0.69%
16092022,3873.33,3880.95,3880.95,3837.08,,-0.72%
15092022,3901.35,3932.41,3959.14,3888.28,,-1.13%
14092022,3946.01,3940.73,3961.94,3912.18,,0.34%
13092022,3932.69,4037.12,4037.12,3921.28,,-4.32%
12092022,4110.41,4083.67,4119.28,4083.67,,1.06%
9092022,4067.36,4022.94,4076.81,4022.94,,1.53%
8092022,4006.18,3959.94,4010.5,3944.81,,0.66%
7092022,3979.87,3909.43,3987.89,3906.03,,1.83%
6092022,3908.19,3930.89,3942.55,3886.75,,-0.41%
2092022,3924.26,3994.66,4018.43,3906.21,,-1.07%
1092022,3966.85,3936.73,3970.23,3903.65,,0.30%
31082022,3955,4000.67,4015.37,3954.53,,-0.78%
30082022,3986.16,4041.25,4044.98,3965.21,,-1.10%
29082022,4030.61,4034.58,4062.99,4017.42,,-0.67%
26082022,4057.66,4198.74,4203.04,4057.66,,-3.37%
25082022,4199.12,4153.26,4200.54,4147.59,,1.41%
24082022,4140.77,4126.55,4156.56,4119.97,,0.29%
23082022,4128.73,4133.09,4159.77,4124.03,,-0.22%
22082022,4137.99,4195.08,4195.08,4129.86,,-2.14%
19082022,4228.48,4266.31,4266.31,4218.7,,-1.29%
18082022,4283.74,4273.13,4292.53,4261.98,,0.23%
17082022,4274.04,4280.4,4302.18,4253.08,,-0.72%
16082022,4305.2,4290.46,4325.28,4277.77,,0.19%
15082022,4297.14,4269.37,4301.79,4256.9,,0.40%
12082022,4280.15,4225.02,4280.47,4219.78,,1.73%
11082022,4207.27,4227.4,4257.91,4201.41,,-0.07%
10082022,4210.24,4181.02,4211.03,4177.26,,2.13%
9082022,4122.47,4133.11,4137.3,4112.09,,-0.42%
8082022,4140.06,4155.93,4186.62,4128.97,,-0.12%
5082022,4145.19,4115.87,4151.58,4107.31,,-0.16%
4082022,4151.94,4154.85,4161.29,4135.42,,-0.08%
3082022,4155.17,4107.96,4167.66,4107.96,,1.56%
2082022,4091.19,4104.21,4140.47,4079.81,,-0.67%
1082022,4118.63,4112.38,4144.95,4096.02,,-0.28%
