"","Dia","Valor"
"1","04.Jan.2010",507.1
"2","05.Jan.2010",505.7
"3","06.Jan.2010",504.22
"4","07.Jan.2010",497.93
"5","08.Jan.2010",494.54
"6","11.Jan.2010",492.37
"7","12.Jan.2010",489.47
"8","13.Jan.2010",491.16
"9","14.Jan.2010",490.01
"10","15.Jan.2010",493
"11","18.Jan.2010",492.9
"12","19.Jan.2010",490.89
"13","20.Jan.2010",492.21
"14","21.Jan.2010",495.2
"15","22.Jan.2010",498.75
"16","25.Jan.2010",506.36
"17","26.Jan.2010",506.88
"18","27.Jan.2010",512.12
"19","28.Jan.2010",520.69
"20","29.Jan.2010",531.75
"21","01.Feb.2010",523.1
"22","02.Feb.2010",528.48
"23","03.Feb.2010",528.58
"24","04.Feb.2010",535.51
"25","05.Feb.2010",546.18
"26","08.Feb.2010",543.35
"27","09.Feb.2010",541.39
"28","10.Feb.2010",541.23
"29","11.Feb.2010",535.63
"30","12.Feb.2010",533.55
"31","15.Feb.2010",529.6
"32","16.Feb.2010",525.48
"33","17.Feb.2010",527.58
"34","18.Feb.2010",527.81
"35","19.Feb.2010",532.39
"36","22.Feb.2010",533.21
"37","23.Feb.2010",529.19
"38","24.Feb.2010",528.52
"39","25.Feb.2010",530.67
"40","26.Feb.2010",529.69
"41","01.Mar.2010",527.84
"42","02.Mar.2010",524.94
"43","03.Mar.2010",521.49
"44","04.Mar.2010",515.81
"45","05.Mar.2010",515.04
"46","08.Mar.2010",511.23
"47","09.Mar.2010",508.66
"48","10.Mar.2010",512.79
"49","11.Mar.2010",515.17
"50","12.Mar.2010",520.81
"51","15.Mar.2010",516.33
"52","16.Mar.2010",516.45
"53","17.Mar.2010",521.87
"54","18.Mar.2010",526.89
"55","19.Mar.2010",525.95
"56","22.Mar.2010",527.78
"57","23.Mar.2010",533.24
"58","24.Mar.2010",533.87
"59","25.Mar.2010",532.69
"60","26.Mar.2010",532.33
"61","29.Mar.2010",533.06
"62","30.Mar.2010",532.21
"63","31.Mar.2010",526.29
"64","01.Apr.2010",524.46
"65","05.Apr.2010",521.95
